Conversations,LastIteration,TrainingString,Type
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Mr Duarte   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Says, is this?
   👩🏻‍💻: - No matched intent
👱‍♀️: - You know.
   👩🏻‍💻: - No matched intent
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Saoli.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Is that okay?
   👩🏻‍💻: - No matched intent
👱‍♀️: - Can you let me go to Korea.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Set reminder.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ","Says, is this? ‍",Quotation
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - I need to speak with Alberto.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - I need to confirm the status of repairs for a 2004. Kia Soul.
   👩🏻‍💻: - Please say your first name then spell it
👱‍♀️: - Dylan d y. L a n.
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - Sotelo Sotelo.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I need to speak with Alberto. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Harman   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Want to see the status of my car.
   👩🏻‍💻: - Please say your vehicle's year 
👱‍♀️: - 2017.
   👩🏻‍💻: - Please say your vehicle's model, for example, SPORTAGE ","
👱‍♀️: - Forte.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you about your status.   ",Want to see the status of my car. ‍,Status
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Harman   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Want to see the status of my car.
   👩🏻‍💻: - Please say your vehicle's year 
👱‍♀️: - 2017.
   👩🏻‍💻: - Please say your vehicle's model, for example, SPORTAGE ","
👱‍♀️: - Forte.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you about your status.   ",Want to see the status of my car. ‍,Status
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Jaramillo   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - I need to talk to somebody about a symptom for my car.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Yeah, my clutch pedal doesn't have much pressure and I'm wondering if it's the clutch master cylinder needs to be swapped out.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I need to talk to somebody about a symptom for my car. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Jaramillo   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - I need to talk to somebody about a symptom for my car.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Yeah, my clutch pedal doesn't have much pressure and I'm wondering if it's the clutch master cylinder needs to be swapped out.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I need to talk to somebody about a symptom for my car. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Duran   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Book a service appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2019.
   👩🏻‍💻: - Please say your vehicle's model, for example, SPORTAGE 
👱‍♀️: - Forte.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Wait.
   👩🏻‍💻: - Our first availability isToday at 3:50 PM   Please select a time, say next, or say a date of your choice
👱‍♀️: - Next.
   👩🏻‍💻: - We have availabilityTomorrow at 7:50 AM, 9:30 AM and 10:30 AMPlease select a time, say next, or say a date
👱‍♀️: - Thursday, August 25th.
   👩🏻‍💻: - We have availabilityThursday August 25th at 7:30 AM, 8:30 AM and 9:50 AMPlease select a time, say next, or say a date","
👱‍♀️: - 8:30, a.m.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Book a service appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Arriaga   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2014.
   👩🏻‍💻: - Please say your vehicle's model, for example, SPORTAGE 
👱‍♀️: - 4K.
   👩🏻‍💻: - Please say your vehicle's model, for example, SPORTAGE 
👱‍♀️: - Kia Forte.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Rico.
   👩🏻‍💻: - No matched intent
👱‍♀️: - List services.
   👩🏻‍💻: - Our services include;Recalls;Brake repair; AC and Cabin Filter Replacement;Engine light, Battery and Electrical system;Windshield Wipers and Fluid;Tire repairs and changes;and Inspection ;Please say a service name, or NEXT for more options
👱‍♀️: - Recalls.
   👩🏻‍💻: -    Glad to help you with your recall. Please be informed that recalls are inspection only and may require parts that may not be available at the time of booking. Do you have any other concerns with your vehicle in addition to your recall?    
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Snow.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Make appointment.
   👩🏻‍💻: -    Thank you    would you like to book an appointment for your    2014 Forte ?   
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - What is a 2014? Kia Forte.
   👩🏻‍💻: - Please say your vehicle's year 
👱‍♀️: - 2014.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Recalls.
   👩🏻‍💻: -    Glad to help you with your recall. Please be informed that recalls are inspection only and may require parts that may not be available at the time of booking. Do you have any other concerns with your vehicle in addition to your recall?    
👱‍♀️: - No.
   👩🏻‍💻: -  Would you like drop off your vehicle or wait at the dealership? 
👱‍♀️: - Drop off my vehicle.
   👩🏻‍💻: - Our first availability isTomorrow at 9:30 AM, 10:30 AM and 11:50 AM   Please select a time, say next, or say a date 
👱‍♀️: - September 3rd.
   👩🏻‍💻: - We have availabilitySaturday September 3rd at 8:00 AM, 9:00 AM and 10:20 AMPlease select a time, say next, or say a date
👱‍♀️: - August 27th.
   👩🏻‍💻: - We have availabilitySaturday August 27th at 8:20 AM, 9:20 AM and 10:40 AMPlease select a time, say next, or say a date","
👱‍♀️: - 8:20 a.m.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Arriaga   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2014.
   👩🏻‍💻: - Please say your vehicle's model, for example, SPORTAGE 
👱‍♀️: - 4K.
   👩🏻‍💻: - Please say your vehicle's model, for example, SPORTAGE 
👱‍♀️: - Kia Forte.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Rico.
   👩🏻‍💻: - No matched intent
👱‍♀️: - List services.
   👩🏻‍💻: - Our services include;Recalls;Brake repair; AC and Cabin Filter Replacement;Engine light, Battery and Electrical system;Windshield Wipers and Fluid;Tire repairs and changes;and Inspection ;Please say a service name, or NEXT for more options
👱‍♀️: - Recalls.
   👩🏻‍💻: -    Glad to help you with your recall. Please be informed that recalls are inspection only and may require parts that may not be available at the time of booking. Do you have any other concerns with your vehicle in addition to your recall?    
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Snow.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Make appointment.
   👩🏻‍💻: -    Thank you    would you like to book an appointment for your    2014 Forte ?   
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - What is a 2014? Kia Forte.
   👩🏻‍💻: - Please say your vehicle's year 
👱‍♀️: - 2014.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Recalls.
   👩🏻‍💻: -    Glad to help you with your recall. Please be informed that recalls are inspection only and may require parts that may not be available at the time of booking. Do you have any other concerns with your vehicle in addition to your recall?    
👱‍♀️: - No.
   👩🏻‍💻: -  Would you like drop off your vehicle or wait at the dealership? 
👱‍♀️: - Drop off my vehicle.
   👩🏻‍💻: - Our first availability isTomorrow at 9:30 AM, 10:30 AM and 11:50 AM   Please select a time, say next, or say a date 
👱‍♀️: - September 3rd.
   👩🏻‍💻: - We have availabilitySaturday September 3rd at 8:00 AM, 9:00 AM and 10:20 AMPlease select a time, say next, or say a date
👱‍♀️: - August 27th.
   👩🏻‍💻: - We have availabilitySaturday August 27th at 8:20 AM, 9:20 AM and 10:40 AMPlease select a time, say next, or say a date","
👱‍♀️: - 8:20 a.m.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Arriaga   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2014.
   👩🏻‍💻: - Please say your vehicle's model, for example, SPORTAGE 
👱‍♀️: - 4K.
   👩🏻‍💻: - Please say your vehicle's model, for example, SPORTAGE 
👱‍♀️: - Kia Forte.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Rico.
   👩🏻‍💻: - No matched intent
👱‍♀️: - List services.
   👩🏻‍💻: - Our services include;Recalls;Brake repair; AC and Cabin Filter Replacement;Engine light, Battery and Electrical system;Windshield Wipers and Fluid;Tire repairs and changes;and Inspection ;Please say a service name, or NEXT for more options
👱‍♀️: - Recalls.
   👩🏻‍💻: -    Glad to help you with your recall. Please be informed that recalls are inspection only and may require parts that may not be available at the time of booking. Do you have any other concerns with your vehicle in addition to your recall?    
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Snow.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Make appointment.
   👩🏻‍💻: -    Thank you    would you like to book an appointment for your    2014 Forte ?   
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - What is a 2014? Kia Forte.
   👩🏻‍💻: - Please say your vehicle's year 
👱‍♀️: - 2014.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Recalls.
   👩🏻‍💻: -    Glad to help you with your recall. Please be informed that recalls are inspection only and may require parts that may not be available at the time of booking. Do you have any other concerns with your vehicle in addition to your recall?    
👱‍♀️: - No.
   👩🏻‍💻: -  Would you like drop off your vehicle or wait at the dealership? 
👱‍♀️: - Drop off my vehicle.
   👩🏻‍💻: - Our first availability isTomorrow at 9:30 AM, 10:30 AM and 11:50 AM   Please select a time, say next, or say a date 
👱‍♀️: - September 3rd.
   👩🏻‍💻: - We have availabilitySaturday September 3rd at 8:00 AM, 9:00 AM and 10:20 AMPlease select a time, say next, or say a date
👱‍♀️: - August 27th.
   👩🏻‍💻: - We have availabilitySaturday August 27th at 8:20 AM, 9:20 AM and 10:40 AMPlease select a time, say next, or say a date","
👱‍♀️: - 8:20 a.m.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Robles   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Me an appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2020. Kia, Sorento.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Air conditioner, not working.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Wait.
   👩🏻‍💻: - Our first availability isTomorrow at 9:30 AM, 10:30 AM and 11:50 AM   Please select a time, say next, or say a date ","
👱‍♀️: - Tomorrow 9:30.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Me an appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Robles   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Me an appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2020. Kia, Sorento.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Air conditioner, not working.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Wait.
   👩🏻‍💻: - Our first availability isTomorrow at 9:30 AM, 10:30 AM and 11:50 AM   Please select a time, say next, or say a date ","
👱‍♀️: - Tomorrow 9:30.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Me an appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Robles   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Me an appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2020. Kia, Sorento.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Air conditioner, not working.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Wait.
   👩🏻‍💻: - Our first availability isTomorrow at 9:30 AM, 10:30 AM and 11:50 AM   Please select a time, say next, or say a date ","
👱‍♀️: - Tomorrow 9:30.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Me an appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Robles   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Me an appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2020. Kia, Sorento.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Air conditioner, not working.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Wait.
   👩🏻‍💻: - Our first availability isTomorrow at 9:30 AM, 10:30 AM and 11:50 AM   Please select a time, say next, or say a date ","
👱‍♀️: - Tomorrow 9:30.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Me an appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Berberian   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Make an appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - Kia Forte 2022.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Followed by the pound key.
   👩🏻‍💻: - No matched intent","
👱‍♀️: - Either invalid or we did not receive your response. Please enter the call summary followed by the pound key.
   👩🏻‍💻: - good bye.",Make an appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Berberian   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Make an appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - Kia Forte 2022.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Followed by the pound key.
   👩🏻‍💻: - No matched intent","
👱‍♀️: - Either invalid or we did not receive your response. Please enter the call summary followed by the pound key.
   👩🏻‍💻: - good bye.",Make an appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Berberian   Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Make an appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - Kia Forte 2022.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Followed by the pound key.
   👩🏻‍💻: - No matched intent","
👱‍♀️: - Either invalid or we did not receive your response. Please enter the call summary followed by the pound key.
   👩🏻‍💻: - good bye.",Make an appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Kia of Alhambra Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?How can I assist you today? 
👱‍♀️: - Service Chief.
   👩🏻‍💻: - No matched intent
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Make appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2023. Kia Sportage.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Wait.
   👩🏻‍💻: - Our first availability isMonday August 22nd at 9:30 AM, 10:30 AM and 11:50 AM   Please select a time, say next, or say a date 
👱‍♀️: - Repeat.
   👩🏻‍💻: - We have availabilityMonday August 22nd at 9:30 AM, 10:30 AM and 11:50 AMPlease select a time, say next, or say a date
👱‍♀️: - Next.
   👩🏻‍💻: - We have availabilityMonday August 22nd at 1:10 PM, 2:30 PM and 3:50 PMPlease select a time, say next, or say a date
👱‍♀️: - Saturday appointments.
   👩🏻‍💻: - We do not have any availability on that day We have availabilityMonday August 22nd at 9:30 AM, 10:30 AM and 11:50 AMPlease select a time, say next, or say a date
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - 10:30 a.m.
   👩🏻‍💻: - Please say your first name and last name","
👱‍♀️: - Momoya Melgar.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Service Chief. ‍,Booking
